station_id,name,capacity,num_bikes_available,num_docks_available,lat,lon,is_renting,is_returning
7230,Garden Ave / Roncesvalles Ave,18,18,0,43.643769,-79.447915,TRUE,TRUE
7231,Wright Ave / Sorauren Ave - SMART,18,14,4,43.646677,-79.442741,TRUE,TRUE
7232,Queen St W  /  Fuller Ave - SMART,16,11,5,43.640255,-79.439223,TRUE,TRUE
7233,King St W / Cowan Ave - SMART,16,5,11,43.637922,-79.431734,TRUE,TRUE
7234,Roncesvalles Ave / Marmaduke St,19,1,17,43.650492,-79.450842,TRUE,TRUE
7235,Bay St / College St (West Side) - SMART,16,10,5,43.660087,-79.385655,TRUE,TRUE
7236,Thompson St / Broadview Ave - SMART,24,9,14,43.659471,-79.350325,TRUE,TRUE
7237,Ward St / Wallace Ave,15,5,10,43.662857,-79.44618,TRUE,TRUE
7238,Sorauren Ave / Geoffrey St - SMART,15,3,11,43.649172,-79.4445087,TRUE,TRUE
7239,Bloor St W / Manning Ave - SMART,42,0,42,43.663912,-79.416124,TRUE,TRUE
7240,Bloor St W / Shaw St - SMART,34,2,32,43.662403,-79.423098,TRUE,TRUE
7241,519 Church St,12,0,12,43.66683342,-79.38120391,TRUE,TRUE
7242,Lake Shore Blvd W / Ontario Dr,35,14,20,43.630254,-79.420317,TRUE,TRUE
7243,Exhibition GO Station,14,4,9,43.6352007,-79.4187711,TRUE,TRUE
7244,Dufferin Gate - SMART,16,1,15,43.633473,-79.425679,TRUE,TRUE
7245,Tecumseth St / Queen St W - SMART,9,4,4,43.646552,-79.406468,TRUE,TRUE
7246,Yonge St / Bloor St,19,6,13,43.669969,-79.386532,TRUE,TRUE
7247,Howard Park Ave / Dundas St W - SMART,12,4,8,43.6521,-79.4486,TRUE,TRUE
7248,Baldwin St / Spadina Ave - SMART,20,15,4,43.654905,-79.398448,TRUE,TRUE
7249,Lakeview Ave / Harrison St (Green P),16,8,8,43.651145,-79.423742,TRUE,TRUE
7250,Ursula Franklin St / St. George St - SMART,16,15,0,43.660296,-79.397107,TRUE,TRUE
7252,Robert St / Bloor St W - SMART,18,1,17,43.665846,-79.404998,TRUE,TRUE
7253,John St  / Mercer St - SMART,12,8,1,43.6461,-79.3895,TRUE,TRUE
7256,Vanauley St / Queen St W - SMART,12,4,7,43.648437,-79.39838,TRUE,TRUE
7257,Dundas St W / St. Patrick St,19,9,9,43.6545174,-79.3895315,TRUE,TRUE
